height_0.1,height_0.7,height_0.8,height_0.9,height_1.0,height_1.1,height_1.2,height_1.3,height_1.4,height_1.5,height_1.6,height_1.8,height_2.0,topic
30,29,26,21,16,10,6,5,4,3,2,2,1,42
28,27,24,19,14,9,5,5,4,3,2,2,1,35
25,24,21,16,11,7,4,4,4,3,2,2,1,19
29,28,25,20,15,9,5,5,4,3,2,2,1,29
13,12,10,9,6,5,3,3,3,2,1,1,1,10
15,14,12,9,6,5,3,3,3,2,1,1,1,9
6,5,5,5,3,3,1,1,1,1,1,1,1,18
31,30,27,22,17,11,7,6,5,4,3,2,1,14
40,39,36,29,22,14,9,7,6,4,3,2,1,49
33,32,29,24,18,11,7,6,5,4,3,2,1,46
1,1,1,1,1,1,1,1,1,1,1,1,1,4
48,47,44,36,26,17,11,8,6,4,3,2,1,43
43,42,39,32,24,16,10,8,6,4,3,2,1,47
16,15,13,9,6,5,3,3,3,2,1,1,1,45
24,23,20,15,10,6,3,3,3,2,1,1,1,8
34,33,30,25,19,12,7,6,5,4,3,2,1,21
42,41,38,31,23,15,9,7,6,4,3,2,1,24
19,18,16,12,7,5,3,3,3,2,1,1,1,44
45,44,41,34,25,16,10,8,6,4,3,2,1,27
41,40,37,30,22,14,9,7,6,4,3,2,1,22
3,2,2,2,1,1,1,1,1,1,1,1,1,28
20,19,17,13,8,6,3,3,3,2,1,1,1,1
12,11,9,8,5,4,2,2,2,2,1,1,1,25
4,3,3,3,1,1,1,1,1,1,1,1,1,20
52,51,48,38,28,18,11,8,6,4,3,2,1,36
9,8,7,6,4,4,2,2,2,2,1,1,1,31
44,43,40,33,24,16,10,8,6,4,3,2,1,17
38,37,34,27,20,12,7,6,5,4,3,2,1,50
2,1,1,1,1,1,1,1,1,1,1,1,1,7
22,21,18,14,9,6,3,3,3,2,1,1,1,3
39,38,35,28,21,13,8,6,5,4,3,2,1,38
46,45,42,34,25,16,10,8,6,4,3,2,1,6
17,16,14,10,7,5,3,3,3,2,1,1,1,33
27,26,23,18,13,8,4,4,4,3,2,2,1,34
14,13,11,9,6,5,3,3,3,2,1,1,1,2
47,46,43,35,25,16,10,8,6,4,3,2,1,26
7,6,6,6,4,4,2,2,2,2,1,1,1,0
23,22,19,14,9,6,3,3,3,2,1,1,1,30
50,49,46,37,27,18,11,8,6,4,3,2,1,32
51,50,47,37,27,18,11,8,6,4,3,2,1,13
5,4,4,4,2,2,1,1,1,1,1,1,1,5
10,9,8,7,5,4,2,2,2,2,1,1,1,40
11,10,8,7,5,4,2,2,2,2,1,1,1,39
36,35,32,26,20,12,7,6,5,4,3,2,1,16
26,25,22,17,12,7,4,4,4,3,2,2,1,41
21,20,17,13,8,6,3,3,3,2,1,1,1,12
49,48,45,36,26,17,11,8,6,4,3,2,1,23
35,34,31,25,19,12,7,6,5,4,3,2,1,51
32,31,28,23,17,11,7,6,5,4,3,2,1,48
18,17,15,11,7,5,3,3,3,2,1,1,1,11
37,36,33,26,20,12,7,6,5,4,3,2,1,15
8,7,6,6,4,4,2,2,2,2,1,1,1,37
