topic_id,label
60,"topo, conf, copil, plaidoyer, tél, , , , , , , , , , , , , , , "
0,"marie, 46, paris, jean, jégo, 75013, 01, rue, français, 06, envoyé, 39, association, 44, www, objet, 2021, gmail, générale, déléguée"
6,"rajaa, laurent, congé, ducol, tom, dom, nicolas, ue, formation, activité, claire, anne, permanence, juin, laure, semaine, commandes, partiel, monde, gobain"
18,"étudiants, copil, enssib, julien, benedetti, numériques, dominique, editions, cr, naud, éditions, leroux, commanditaire, ducol, laure, grille, laurent, publications, évaluation, anne"
1,"twitter, tweeté, tweet, status, download, téléchargez, https, officielle, co, application, 03, pm, 13, com, ven, jeu, mar, 2020, mer, archivistes_aaf"
42,"zoom, réunion, pwd, bernard, us02web, favreau, brau, myriam, 811, activité, frederic, catherine, marion, helene, ________________________________________________________________, k2oru2npynvdcmq4bxy2zhfxqznyut09, 84137532328, chambefort, pierre, id"
3,"myriam, favreau, aquitaine, aaf_bureau, nouvelle, site, inventaire, poitiers, patrimoine, listes, 36, 49, chargée, 08, 33, 05, service, hiraux, request, internet"
46,"status, twitter, https, 09, bertrandcaron, 1318528736548016129, 1318617385927139329, 1181258305672564738, emma_morlock, idee, macgraveur, com, 1304031867658792971, 1301795554398212096, 366portraitshs, 1318261385646776321, 1321558110901800967, 1321746463827857408, 1180045345260224514, ressi"
43,"cv, alice, ducol, laurent, recrutement, grippon, dearcoaching, lm, laurence, expérience, 2019, rh, giess, professionnelle, lejeune, formulaires, poste, diaby, coz, attractif"
32,"siaf, artefactual, ovh, producteurs, aiaf, atom, élective, notices, hébergement, data, convention, référentiel, service, convocation, recovery, dominique, amendement, services, facturation, gouv"
16,"prix, exemplaires, tirage, vente, 000, saaf, box, édition, ttc, ex, naud, frais, dominique, editions, laure, abrégé, ouvrage, leroux, coût, 348"
41,"aristote, conservation, duplouy, séminaire, organisation, co, cnil, numérique, pin, langlet, durées, virginie, menapace, logement, proposition, bourriquen, laurent, marjorie, adf, albine"
