TSNE1,TSNE2,cluster_id,cluster_name,email_id,subject
40.75254,-60.693478,4,Informations diverses,0,Email 0
40.79669,-60.765213,4,Informations diverses,1,Email 1
41.348373,-60.643833,2,Événements archivistiques,2,Email 2
41.269936,-60.531197,2,Événements archivistiques,3,Email 3
41.769188,-60.509594,2,Événements archivistiques,4,Email 4
41.457752,-60.43025,2,Événements archivistiques,5,Email 5
41.84862,-60.367283,2,Événements archivistiques,6,Email 6
41.518604,-60.13101,4,Informations diverses,7,Email 7
41.699116,-60.332848,2,Événements archivistiques,8,Email 8
41.934856,-60.390152,2,Événements archivistiques,9,Email 9
42.95244,-60.43512,2,Événements archivistiques,10,Email 10
42.794872,-60.332684,2,Événements archivistiques,11,Email 11
43.39099,-60.264385,2,Événements archivistiques,12,Email 12
37.023205,-6.6988525,3,Échanges informels,13,Email 13
43.50841,-60.21626,2,Événements archivistiques,14,Email 14
43.633404,-60.25631,6,Gestion association,15,Email 15
43.78592,-60.15282,2,Événements archivistiques,16,Email 16
44.103443,-60.263744,6,Gestion association,17,Email 17
44.085827,-58.607964,2,Événements archivistiques,18,Email 18
43.996178,-60.188393,6,Gestion association,19,Email 19
44.027145,-60.265083,6,Gestion association,20,Email 20
44.853416,-60.206432,6,Gestion association,21,Email 21
44.42959,-60.468628,6,Gestion association,22,Email 22
45.072025,-60.565987,6,Gestion association,23,Email 23
45.09443,-60.15641,6,Gestion association,24,Email 24
45.92076,-58.719902,5,Discussions internes,25,Email 25
45.144875,-60.32794,6,Gestion association,26,Email 26
45.197903,-60.19242,6,Gestion association,27,Email 27
45.36347,-58.162773,2,Événements archivistiques,28,Email 28
45.12374,-58.01494,2,Événements archivistiques,29,Email 29
45.0915,-57.53307,5,Discussions internes,30,Email 30
45.594826,-59.63441,6,Gestion association,31,Email 31
45.601913,-59.8088,6,Gestion association,32,Email 32
44.977196,-57.982204,5,Discussions internes,33,Email 33
45.274742,-58.352158,5,Discussions internes,34,Email 34
45.50444,-60.08833,6,Gestion association,35,Email 35
45.4871,-58.08747,5,Discussions internes,36,Email 36
45.776493,-58.86218,5,Discussions internes,37,Email 37
45.67682,-58.193024,5,Discussions internes,38,Email 38
45.969437,-60.691475,6,Gestion association,39,Email 39
46.585014,-60.20963,6,Gestion association,40,Email 40
46.03622,-59.959724,6,Gestion association,41,Email 41
45.663425,-58.050316,5,Discussions internes,42,Email 42
45.896305,-59.97912,6,Gestion association,43,Email 43
45.71533,-58.168118,2,Événements archivistiques,44,Email 44
46.909153,-59.92413,6,Gestion association,45,Email 45
46.48088,-59.892277,6,Gestion association,46,Email 46
47.268032,-59.34518,5,Discussions internes,47,Email 47
47.556694,-60.440422,6,Gestion association,48,Email 48
46.652542,-59.79528,6,Gestion association,49,Email 49
47.236084,-59.200684,5,Discussions internes,50,Email 50
47.652744,-58.26744,5,Discussions internes,51,Email 51
47.5436,-59.56746,6,Gestion association,52,Email 52
47.608513,-57.645157,5,Discussions internes,53,Email 53
47.66669,-57.20921,3,Échanges informels,54,Email 54
48.37969,-57.579346,4,Informations diverses,55,Email 55
47.68133,-59.076897,5,Discussions internes,56,Email 56
47.654064,-59.48811,6,Gestion association,57,Email 57
47.911625,-59.26364,5,Discussions internes,58,Email 58
39.287857,-8.811501,4,Informations diverses,59,Email 59
48.57628,-58.212288,5,Discussions internes,60,Email 60
48.108162,-59.09854,5,Discussions internes,61,Email 61
48.33058,-59.43737,5,Discussions internes,62,Email 62
48.04288,-57.220215,5,Discussions internes,63,Email 63
48.23578,-59.295876,5,Discussions internes,64,Email 64
48.4912,-57.851067,5,Discussions internes,65,Email 65
-1.2807848,-9.774631,3,Échanges informels,70,Email 66
-1.2740947,-9.800926,4,Informations diverses,71,Email 67
58.643467,-63.228848,2,Événements archivistiques,72,Email 68
58.745678,-62.61409,2,Événements archivistiques,73,Email 69
58.683865,-62.529377,2,Événements archivistiques,74,Email 70
